ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2149221,HH396155,05/25/2002 05:35:00 PM,0000X N LEAVITT ST,460,BATTERY,SIMPLE,STREET,true,true,1332,12,2,28,08B,1161747,1900155,2002,04/15/2016 08:55:02 AM,41.881698683,-87.681528717,"(41.881698683, -87.681528717)"
4605234,HM197992,02/22/2006 01:30:00 PM,069XX S ARTESIAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,832,8,15,66,08B,1161242,1858498,2006,04/15/2016 08:55:02 AM,41.767397559,-87.684538166,"(41.767397559, -87.684538166)"
9195685,HW339804,06/28/2013 08:20:00 PM,021XX W 69TH PL,560,ASSAULT,SIMPLE,STREET,false,false,735,7,17,67,08A,1163424,1858553,2013,02/04/2016 06:33:39 AM,41.767503043,-87.676538627,"(41.767503043, -87.676538627)"
5864190,HN665793,10/23/2007 07:10:00 PM,080XX S COTTAGE GROVE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,631,6,6,44,18,1182955,1851770,2007,04/15/2016 08:55:02 AM,41.748458232,-87.605159961,"(41.748458232, -87.605159961)"
2427059,HH745844,10/29/2002 07:00:00 AM,040XX N PULASKI RD,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1723,17,39,16,5,1149003,1926584,2002,04/15/2016 08:55:02 AM,41.954478414,-87.727639213,"(41.954478414, -87.727639213)"
4718049,HM316393,04/28/2006 02:30:00 PM,104XX S GREEN ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,2233,22,34,73,5,1172491,1835685,2006,04/15/2016 08:55:02 AM,41.704555346,-87.643975551,"(41.704555346, -87.643975551)"
7344735,HS146943,02/01/2010 05:10:00 PM,018XX W 63RD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,726,7,15,67,08B,1165280,1862894,2010,02/04/2016 06:33:39 AM,41.779376229,-87.669612762,"(41.779376229, -87.669612762)"
4686107,HM289079,04/13/2006 06:00:00 PM,022XX N CLIFTON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1811,18,32,7,11,1168268,1915049,2006,04/15/2016 08:55:02 AM,41.92243037,-87.657152801,"(41.92243037, -87.657152801)"
4659907,HM259377,03/29/2006 11:00:00 AM,013XX N ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,true,false,1433,14,1,24,26,1165480,1909088,2006,04/15/2016 08:55:02 AM,41.906132875,-87.667566751,"(41.906132875, -87.667566751)"
6981352,HR386360,06/20/2009 09:00:00 PM,022XX N TALMAN AVE,810,THEFT,OVER $500,STREET,false,false,1431,14,1,22,6,1158324,1914904,2009,02/04/2016 06:33:39 AM,41.922241831,-87.693694087,"(41.922241831, -87.693694087)"
3483891,HK545772,08/09/2004 12:50:00 AM,042XX W 47TH ST,460,BATTERY,SIMPLE,ALLEY,false,false,815,8,23,57,08B,1148678,1873125,2004,04/15/2016 08:55:02 AM,41.807787193,-87.73021506,"(41.807787193, -87.73021506)"
4353690,HL650775,10/03/2005 11:00:00 AM,013XX N CLAREMONT AVE,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,1424,14,1,24,08A,1160499,1908800,2005,04/15/2016 08:55:02 AM,41.905447207,-87.685871795,"(41.905447207, -87.685871795)"
4317997,HL624501,09/20/2005 04:57:00 PM,037XX W ARMITAGE AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,2535,25,26,22,3,1151307,1913033,2005,04/15/2016 08:55:02 AM,41.917248372,-87.719525974,"(41.917248372, -87.719525974)"
7858608,HS672264,11/01/2010 12:00:00 PM,041XX W WABANSIA AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,2534,25,30,23,6,1148680,1910981,2010,02/04/2016 06:33:39 AM,41.911668675,-87.729230781,"(41.911668675, -87.729230781)"
8431014,HV109524,01/08/2012 10:30:00 AM,042XX W MADISON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1115,11,28,26,18,1148036,1899674,2012,02/04/2016 06:33:39 AM,41.880653484,-87.73188785,"(41.880653484, -87.73188785)"
6252564,HP316873,05/04/2008 04:44:00 PM,027XX W CERMAK RD,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1023,10,28,30,24,1158281,1889275,2008,02/04/2016 06:33:39 AM,41.851914393,-87.694553072,"(41.851914393, -87.694553072)"
7635880,HR581462,10/10/2009 06:11:00 PM,034XX W CARROLL AVE,560,ASSAULT,SIMPLE,OTHER,false,false,1123,11,28,27,08A,1153398,1902188,2009,02/04/2016 06:33:39 AM,41.887447355,-87.712132101,"(41.887447355, -87.712132101)"
3929426,HL301697,04/17/2005 09:42:37 PM,008XX E 82ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,631,6,8,44,14,1183428,1850811,2005,04/15/2016 08:55:02 AM,41.745815636,-87.603456551,"(41.745815636, -87.603456551)"
5491297,HN309938,04/28/2007 09:45:00 AM,032XX E 91ST ST,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,424,4,10,46,3,1199372,1845241,2007,04/15/2016 08:55:02 AM,41.730145178,-87.545222673,"(41.730145178, -87.545222673)"
5755497,HN564527,09/02/2007 12:15:00 AM,011XX E 47TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,2123,2,4,39,08B,1184735,1874077,2007,04/15/2016 08:55:02 AM,41.809629081,-87.597938463,"(41.809629081, -87.597938463)"
3309854,HK319569,04/23/2004 08:10:00 AM,005XX E 35TH ST,320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,212,2,4,35,3,1180379,1881901,2004,04/15/2016 08:55:02 AM,41.831199917,-87.613675031,"(41.831199917, -87.613675031)"
1390582,G104048,02/20/2001 03:50:00 PM,021XX W ARTHUR AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,2412,24,,,14,1160500,1943081,2001,08/17/2015 03:03:40 PM,41.999516145,-87.684915379,"(41.999516145, -87.684915379)"
3741742,HL111655,01/07/2005 11:30:00 AM,023XX N CALIFORNIA AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1431,14,1,22,5,1157310,1915642,2005,04/15/2016 08:55:02 AM,41.924287654,-87.697399723,"(41.924287654, -87.697399723)"
8127096,HT361662,06/23/2011 10:00:00 AM,012XX W 108TH PL,820,THEFT,$500 AND UNDER,STREET,false,false,2234,22,34,75,6,1170047,1832833,2011,02/04/2016 06:33:39 AM,41.696782345,-87.653007615,"(41.696782345, -87.653007615)"
6227603,HP314450,05/03/2008 07:40:00 AM,055XX W WASHINGTON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,false,1522,15,29,25,08B,1139330,1900199,2008,02/04/2016 06:33:39 AM,41.882257126,-87.763843161,"(41.882257126, -87.763843161)"
10463488,HZ202894,03/27/2016 09:55:00 AM,052XX N SHERIDAN RD,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,2023,20,48,77,6,1168697,1934885,2016,04/03/2016 03:49:03 PM,41.976851852,-87.654999693,"(41.976851852, -87.654999693)"
6685212,HP759933,12/31/2008 06:00:00 PM,009XX N MENARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1511,15,29,25,14,1137526,1905592,2008,02/04/2016 06:33:39 AM,41.89708887,-87.77033763,"(41.89708887, -87.77033763)"
